idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	-20.03321059276892	-2523.3359928128098	1	2	0	valmistutettiin	valmistutettiin	1	15	15
1	94.70100016735212	-2336.68187122993	1	5	1	kasvaa	kasvaa	1	6	6
2	18.176459752691105	-2457.5011071692347	1	3	2	ensimmäisen	ensimmäisen	1	11	11
3	64.47500249893247	-2409.311691077363	1	3	3	tarjoa	tarjoa	1	6	6
4	100.981069115255	-2353.580622038456	1	4	4	tuolista	tuolista	1	8	8
5	104.46706113795965	-2182.0915484228904	1	11	5	lev	lev	1	3	3
6	128.74692788372613	-240.88943848506383	1	90	6	puhellisesta	puhellisesta	1	12	12
7	121.71247973952347	-1691.2291544160482	1	30	7	senintinen	senintinen	1	10	10
8	150.52031672409564	94.77269746540485	1	259	8	koulun	koulun	1	6	6
9	125.79978915098242	82.10919934367621	1	311	9	haltuu	haltuu	1	6	6
10	158.26300318316342	129.47380051281425	2	1377	10	varaan	varaan	2	6	6
11	111.36390114769276	-2149.563819543601	2	12	11	lentokoneet	lentokoneet	2	11	11
12	136.66378736469812	-1793.2778547941402	2	25	12	menestyksen	menestyksen	2	11	11
13	150.96845122951825	95.15761089151462	2	240	13	suunnitelman	suunnitelman	2	12	12
14	152.66175113407726	105.29975742677202	2	395	14	luonnen	luonnen	2	7	7
15	109.92261498867964	-1872.482468826929	2	23	15	kerrottu	kerrottu	2	8	8
16	129.54277003335716	-1481.7246946066102	2	38	16	taiteella	taiteella	2	9	9
17	118.99361289133935	-1966.5867384405055	2	19	17	paikka	paikka	2	6	6
18	145.55357884296393	93.06896339597668	2	196	18	laivasto	laivasto	2	8	8
19	157.76742898332682	131.38081972478338	2	973	19	suurimman	suurimman	2	9	9
20	154.89306780498342	88.75723413185699	2	170	20	laitseen	laitseen	2	8	8
21	114.90850485781144	-2044.855585288504	2	16	21	jalkapallo	jalkapallo	2	10	10
22	101.90104696641755	-2299.6138102541404	2	6	22	miehittivät	miehittivät	2	11	11
23	86.22619594631223	-2367.39144746832	2	4	23	kantaa	kantaa	2	6	6
24	63.31349496462058	-2416.987254929605	2	3	24	varattu	varattu	2	7	7
